case_number,type_of_intake
CAS-02038-R8Q2C9,Courts
CAS-02734-X0W2R3,Courts
CAS-02912-Y5Y7R6,Courts
CAS-02824-P7D0P7,External Agency
CAS-02785-W4F6T4,Direct Intake
CAS-02504-H8J4G2,External Agency
CAS-02005-V5Y8Z9,Direct Intake
CAS-02710-P7V3W1,Direct Intake
CAS-02686-G3X0X2,External Agency
CAS-02274-G6T4T1,External Agency
CAS-03004-P7G6J6,External Agency
CAS-02987-D0Z0Q0,External Agency
CAS-03023-J0L9Y2,External Agency
CAS-02523-B2W4C6,Direct Intake
CAS-02079-Z9V4H3,Direct Intake
CAS-02880-V2J7W4,External Agency
CAS-02769-K5M8C3,External Agency
CAS-03015-G6F8M4,External Agency
CAS-02558-K5P4T2,External Agency
CAS-03021-H8P4G6,External Agency
CAS-02648-V0M2L2,Direct Intake
CAS-02132-D2G3W5,Courts
CAS-02133-T7Z8H8,Courts
CAS-02229-H8Q7P0,Courts
CAS-02234-L6J3K1,Courts
CAS-02554-F5D5B1,Courts
CAS-02236-B4X8Q3,Courts
CAS-02767-Q0N1G0,Direct Intake
CAS-03018-W6J6Z6,External Agency
CAS-02862-V0V6T6,External Agency
CAS-02023-F6D3T9,Direct Intake
CAS-02779-T5B7W4,External Agency
CAS-02275-T4J8N4,Direct Intake
CAS-02190-Q4D4R4,Direct Intake
CAS-02289-X1W3Q9,External Agency
CAS-02381-W9T4X5,Courts
CAS-02546-F2D0K0,Courts
CAS-02537-W7V6F8,Courts
CAS-02697-J0B4P1,Courts
CAS-02143-W3Q9Z1,Courts
CAS-02468-P4C6R6,Courts
CAS-02967-R4F6Q5,External Agency
CAS-02667-S6Z4W2,External Agency
CAS-02475-N0P0C6,Courts
CAS-02085-P4L3B5,Courts
CAS-02747-T1P9D5,Courts
CAS-02704-W4G5M8,External Agency
CAS-02841-V4L5M2,External Agency
CAS-02738-K7T5W7,External Agency
CAS-02826-B0P1N7,Direct Intake
CAS-02666-L0K8F3,External Agency
CAS-02008-L4C3X7,External Agency
CAS-02071-C4Q0K7,External Agency
CAS-02054-W1T8C8,External Agency
CAS-02212-L6Z8B0,External Agency
CAS-02613-K8R1Z3,Direct Intake
CAS-02928-M0R9Y1,Courts
CAS-02127-M2S8N2,Courts
CAS-02765-V7H9Z2,Courts
CAS-02881-L5X6F5,Courts
CAS-02927-H5B0F0,Courts
CAS-02007-K7Z7G1,Courts
CAS-03022-Q6W2Y9,External Agency
CAS-03026-H1D5V3,External Agency
CAS-03005-Z5Z2X8,External Agency
CAS-02477-M3Z0N3,External Agency
CAS-02184-G3N5T0,External Agency
CAS-02757-L9M4J1,Courts
CAS-02441-C1M6L1,Courts
CAS-02091-N9H9K8,Courts
CAS-02780-Z6W6N0,Courts
CAS-02552-V5F6P9,Courts
CAS-02518-R9S2Q1,Courts
CAS-02748-J8S7V8,External Agency
CAS-02572-C9S2W3,External Agency
CAS-02532-B1F4T9,Courts
CAS-02882-G7K0V7,Courts
CAS-02296-Z6P6C7,Courts
CAS-02528-L6Z0G9,Courts
CAS-02743-X4K7F5,Courts
CAS-02891-F7N6J0,Courts
CAS-02564-K6C0D3,Direct Intake
CAS-02659-Z9Z6P5,External Agency
CAS-02075-S1N9W7,Direct Intake
CAS-02729-Y4J3M5,Courts
CAS-02073-R7M7J3,Courts
CAS-02540-H6T4F9,Courts
CAS-02157-M1Y7J0,Courts
CAS-02998-F4K8R1,External Agency
CAS-02550-Z0Y5Q2,External Agency
CAS-02883-F5P0N0,External Agency
CAS-02832-K8N7Q0,External Agency
CAS-02888-N6B0N0,External Agency
CAS-02415-Z5Q4R6,External Agency
CAS-02379-F3T4D5,Courts
CAS-02029-F2H2V7,Courts
CAS-02787-T1W0J3,Courts
CAS-02760-N5B2S1,Courts
CAS-02502-T3Q7B7,Courts
CAS-02993-L5M5D1,External Agency
CAS-02059-H4W4R0,External Agency
CAS-03037-X0P4M9,External Agency
CAS-02913-Q8F7P4,Direct Intake
CAS-02014-G2H0R7,Direct Intake
CAS-02522-V4H9S0,Direct Intake
CAS-02839-T7R6C0,Direct Intake
CAS-02670-D5S8P8,External Agency
CAS-02404-G9X6Q8,Courts
CAS-02807-H6N5L6,Courts
CAS-02401-S0Y3J5,Courts
CAS-02092-P5P7Q5,Courts
CAS-02931-P4R5F5,Courts
CAS-02843-G2R7Q3,Direct Intake
CAS-02244-N2Q1F0,Direct Intake
CAS-02299-K9V8K8,Direct Intake
CAS-02326-K2R9Z1,Direct Intake
CAS-02808-J0X4F6,Direct Intake
CAS-02226-T5M3J4,External Agency
CAS-02328-T3S3G2,Direct Intake
CAS-02134-X8J0S2,External Agency
CAS-02739-T6K1F0,External Agency
CAS-02661-Q1D5L3,External Agency
CAS-02013-C3J1L4,Direct Intake
CAS-02297-T1K5M8,Direct Intake
CAS-02946-Y2K5C4,Direct Intake
CAS-02914-X7B0T4,External Agency
CAS-02109-M5R7R1,External Agency
CAS-02563-C6G2Q0,Courts
CAS-02555-R9P2X1,Courts
CAS-02039-R3B6H8,Courts
CAS-02206-V1K9T9,Courts
CAS-02356-R0C2Q2,Courts
CAS-02158-H7Z9B6,Courts
CAS-02010-Y7Z1H5,Direct Intake
CAS-02989-M3J5Z7,External Agency
CAS-02770-D0S6L5,External Agency
CAS-02698-V6H9G4,External Agency
CAS-02305-W2C1R8,Direct Intake
CAS-02354-C1L1B9,Direct Intake
CAS-02869-L7V2M6,Courts
CAS-02519-L0D7T3,Courts
CAS-02239-F2G2Q3,Courts
CAS-02746-S3T5Y3,External Agency
CAS-02660-J6Y1T3,External Agency
CAS-02855-X6Q8F5,Direct Intake
CAS-02021-T6K0M5,Direct Intake
CAS-02162-Q7J8Z7,External Agency
CAS-03032-D5F3X8,External Agency
CAS-02066-K3P8M7,Direct Intake
CAS-02580-T7S9L3,Direct Intake
CAS-02094-F0C8C7,External Agency
CAS-02135-Z7Z6Z0,External Agency
CAS-02672-Q4J1B6,Direct Intake
CAS-02796-R8T9V8,Courts
CAS-02243-D8Q0Y5,Courts
CAS-02632-D8P4Q0,Courts
CAS-02589-W7D6Z2,Courts
CAS-02256-B8P2M9,Courts
CAS-03001-K8M8B4,External Agency
CAS-02534-K4K6V5,External Agency
CAS-02735-C8W0R0,External Agency
CAS-02741-B7K6M6,External Agency
CAS-02975-Y1C3L6,External Agency
CAS-02930-S7P6Y1,External Agency
CAS-02899-B5G2N3,Direct Intake
CAS-02939-K7V8K8,Direct Intake
CAS-02990-J9M7M1,External Agency
CAS-02052-X4L2J8,External Agency
CAS-02293-Q5Q6R2,External Agency
CAS-02955-Z4J7Z9,External Agency
CAS-02542-M9C5Q1,External Agency
