case_number,type_of_intake
CAS-03908-F3V5J2,External Agency
CAS-03909-Q8W1L6,External Agency
CAS-03910-Z8Q5D4,External Agency
CAS-03911-T4R7G1,Courts
CAS-03912-G0W0S3,Courts
CAS-03913-Q3L8S0,Courts
CAS-03914-X0V9S4,Courts
CAS-03915-K6J4S0,Direct Intake
CAS-03916-Z2W2Q9,External Agency
CAS-03917-G2F5W1,External Agency
CAS-03918-Z7K1R7,Direct Intake
CAS-03919-S1C5Q4,External Agency
CAS-03920-W2S5B1,Direct Intake
CAS-03921-R8T0W8,Courts
CAS-03922-V4Z2K1,Courts
CAS-03923-V4Y5F7,Courts
CAS-03924-N3N1P4,Courts
CAS-03925-B1C9F9,Courts
CAS-03926-W8W9C1,Courts
CAS-03927-B4G0S6,External Agency
CAS-03928-C2V6D2,External Agency
CAS-03929-Y5Q0B0,Courts
CAS-03930-W0M8B5,Courts
CAS-03931-X8Y3C3,Courts
CAS-03932-X1Q6X1,Courts
CAS-03933-K5R8X5,External Agency
CAS-03934-M6T9S7,Direct Intake
CAS-03935-S9M4F0,Direct Intake
CAS-03936-K6L1P8,External Agency
CAS-03937-N6X4X2,Courts
CAS-03938-H3T1H5,Courts
CAS-03939-J9T6D8,Courts
CAS-03940-Z7N9X4,Courts
CAS-03941-T2X9R2,Direct Intake
CAS-03942-X6N7J1,Direct Intake
CAS-03943-J7T6Y9,Courts
CAS-03944-Z7P1Q0,Courts
CAS-03945-G6J4G6,External Agency
CAS-03946-T2F8N8,External Agency
CAS-03947-P9T5W4,Direct Intake
CAS-03948-D4G4Z5,External Agency
CAS-03949-N8H2J7,Direct Intake
CAS-03950-M8G6Y9,External Agency
CAS-03951-G5H4X7,External Agency
CAS-03952-S5J7Z8,External Agency
CAS-03953-Y0C6M9,Direct Intake
CAS-03954-N6G8J8,Courts
CAS-03955-C0P0W3,Courts
CAS-03956-X2N4Y3,External Agency
CAS-03957-H4W6J1,Courts
CAS-03958-F3J4K3,External Agency
CAS-03959-Q8B1R3,Direct Intake
CAS-03960-Z6J1D4,Courts
CAS-03961-J1J6M5,Courts
CAS-03962-M4H4K9,Courts
CAS-03963-R9T4W5,External Agency
CAS-03964-Z2B0K1,Direct Intake
CAS-03965-S1R5L7,Direct Intake
CAS-03966-Q6J2S4,External Agency
CAS-03967-G4Y2D2,External Agency
CAS-03968-Y6F1B9,Courts
CAS-03969-C2L5F3,Courts
CAS-03970-J3W6H2,Courts
CAS-03971-G9L1Q7,Courts
CAS-03972-G9B9B9,External Agency
CAS-03973-R8F9Y8,External Agency
CAS-03974-Z5L2S7,External Agency
CAS-03975-R7F2R6,Courts
CAS-03976-H6M2G4,Courts
CAS-03977-M9M8T0,Direct Intake
CAS-03978-T6K6V2,Courts
CAS-03979-M9B8N9,External Agency
CAS-03980-F8V8Q4,Direct Intake
CAS-03981-L4D9X3,External Agency
CAS-03982-W6Q0Y8,External Agency
CAS-03983-D8N3M8,Courts
CAS-03984-T2M3V3,Courts
CAS-03985-W7H3P9,External Agency
CAS-03986-G6P6F9,Courts
CAS-03987-R8W6B7,Courts
CAS-03988-L4C1Y4,Courts
CAS-03989-M0F7G6,External Agency
CAS-03990-C9R5Q1,Direct Intake
CAS-03991-Y0K3N9,External Agency
CAS-03992-G8N8V3,External Agency
CAS-03993-C6N3F9,Courts
CAS-03994-Z1D5Z4,Courts
CAS-03995-P7W4W8,External Agency
CAS-03996-P5V0M9,Courts
CAS-03997-X4K0P9,Courts
CAS-03998-C5Z6H2,External Agency
CAS-03999-N8T6K6,Direct Intake
CAS-04000-Z3M2B1,External Agency
CAS-04001-Y4Q6F3,External Agency
CAS-04002-V7P7M6,External Agency
CAS-04003-X5S0N9,Direct Intake
CAS-04004-P4D3G3,External Agency
CAS-04005-C7N3T2,Direct Intake
CAS-04006-N1Y9N9,External Agency
CAS-04007-W2G8Y2,External Agency
CAS-04008-Z9Z1Q4,External Agency
CAS-04009-B3W0M9,External Agency
CAS-04010-B6R1X8,Direct Intake
CAS-04011-R3H7Q1,Courts
CAS-04012-S6Z8Q5,Courts
CAS-04013-N5X3F0,Courts
CAS-04014-J3M8V1,Courts
CAS-04015-X8C1Q1,Courts
CAS-04016-J6Y9N9,Direct Intake
CAS-04017-K1V9M1,External Agency
CAS-04018-G9K5D7,Direct Intake
CAS-04019-R2S7T9,Direct Intake
CAS-04020-N3Y8B2,Direct Intake
CAS-04021-X4P7R6,Direct Intake
CAS-04022-D0C6S4,External Agency
CAS-04023-X1F6M8,External Agency
CAS-04024-Y9J4S5,Direct Intake
CAS-04025-P7M0D6,Direct Intake
CAS-04026-M1X7T9,Direct Intake
CAS-04027-Y8V5D7,External Agency
CAS-04028-R8B2R4,Courts
CAS-04029-G7L9G5,Courts
CAS-04030-F4L4B1,Courts
CAS-04031-K1V8V5,Courts
CAS-04032-T8R2X0,External Agency
CAS-04033-V1W3Q8,External Agency
CAS-04034-P4L5Z2,Courts
CAS-04035-F2T2Q7,Courts
CAS-04036-J0X6M4,Courts
CAS-04037-C4H6X4,External Agency
CAS-04038-R2C3J0,External Agency
CAS-04039-C6V1S8,External Agency
CAS-04040-V0H2X8,External Agency
CAS-04041-K8R2Z6,Courts
CAS-04042-Q5K0R5,Courts
CAS-04043-T4H8T8,Courts
CAS-04044-B7J5Y5,Courts
CAS-04045-J1H5S0,Direct Intake
CAS-04046-S7S4P7,Direct Intake
CAS-04047-M2G3K1,Direct Intake
CAS-04048-X0R4S1,Direct Intake
CAS-04049-N5Z1R5,Courts
CAS-04050-F4W6H6,Courts
CAS-04051-Q1Q5Z9,External Agency
CAS-04052-Y3W9B8,External Agency
CAS-04053-P9P5L3,External Agency
CAS-04054-N8H9N7,Direct Intake
CAS-04056-T5T3W2,Direct Intake
CAS-04057-G7J5R0,Courts
CAS-04058-D5Y7R2,Courts
CAS-04059-N7D4Z9,Courts
CAS-04060-K6N2Q8,Courts
CAS-04061-P1S4X0,External Agency
CAS-04062-F9D6D8,External Agency
CAS-04063-P0H1G3,Courts
CAS-04064-C9D6V9,Courts
CAS-04065-Q3Q5W3,Direct Intake
CAS-04066-X9V5P1,Courts
CAS-04067-M3L7H4,Courts
CAS-04068-B7S5X2,Direct Intake
CAS-04069-T1G9C0,Direct Intake
CAS-04070-K5M5P6,Direct Intake
CAS-04071-W9D3S3,Courts
CAS-04072-J7F6N3,Courts
CAS-04073-L4D9R8,Courts
CAS-04074-P2R2B9,Courts
CAS-04075-B3X5L9,External Agency
CAS-04076-V0R1F5,Courts
CAS-04077-N5Q4W5,Courts
CAS-04078-P8S7B3,Courts
CAS-04079-F4T9X5,External Agency
CAS-04080-V3P3F9,Courts
CAS-04081-V8M8Q2,Courts
CAS-04082-X7R5T6,Direct Intake
CAS-04083-Z8Y1D9,External Agency
CAS-04084-K3G4Y1,Courts
CAS-04085-N3S6S9,Courts
CAS-04086-X0F2W1,Direct Intake
CAS-04087-R9K5H6,External Agency
CAS-04088-P6D0X8,External Agency
CAS-04089-N3N1R6,Direct Intake
CAS-04090-N0W2P6,External Agency
CAS-04091-N7S2T0,External Agency
CAS-04092-N7T2X8,External Agency
CAS-04093-Z9D9X2,External Agency
CAS-04094-N7H7M5,External Agency
CAS-04095-C0C3K6,Direct Intake
CAS-04096-W1Z0F8,External Agency
CAS-04097-L7L7J7,Courts
CAS-04098-P6P5V6,Courts
CAS-04099-B7P4H6,Courts
CAS-04100-B3S7D7,Courts
CAS-04101-N9X7Q2,Direct Intake
CAS-04102-K0M7T2,Direct Intake
CAS-04103-N1T4C1,External Agency
CAS-04104-J4S6P7,Courts
CAS-04105-R6C3L3,Courts
CAS-04106-T7K7W6,Courts
CAS-04107-D7Q0H1,Courts
CAS-04108-P7V3F6,Direct Intake
CAS-04109-H8Q7T9,External Agency
CAS-04110-Y5R2J0,External Agency
CAS-04111-D7H0X7,External Agency
CAS-04112-P4K7G1,Direct Intake
CAS-04113-F4P8R9,Courts
CAS-04114-K1D4D3,External Agency
CAS-04115-F6M9V3,External Agency
CAS-04116-J1S3B2,External Agency
CAS-04117-Q1Y6M7,Direct Intake
CAS-04118-C0N1Z6,Courts
CAS-04119-H0B2P4,Courts
CAS-04120-D4W0W7,Courts
CAS-04121-D4X4M3,Courts
CAS-04122-P4L7N9,External Agency
CAS-04123-Z0D4J4,Direct Intake
CAS-04124-F5S9S3,Direct Intake
CAS-04125-Y5J1B6,External Agency
CAS-04126-C8L1Z2,Direct Intake
CAS-04127-T7N5W1,Courts
CAS-04128-T4H5X9,Courts
CAS-04129-R7X4Y4,Courts
CAS-04130-M0H5S9,Courts
CAS-04131-R9X5N5,Direct Intake
CAS-04132-Q9Z2Q5,Direct Intake
CAS-04133-C0Q7G3,Courts
CAS-04134-X0Z5T5,Courts
CAS-04135-K6F6G5,Courts
CAS-04136-L1L5R5,Courts
CAS-04137-J4R0N3,External Agency
CAS-04138-L8K1B7,External Agency
CAS-04139-Q6L5H4,Courts
CAS-04140-K3W4C9,Courts
CAS-04141-Y6R1N1,Courts
CAS-04142-F6X7B1,Courts
CAS-04143-T0N0J8,External Agency
CAS-04144-W8C1M3,External Agency
CAS-04145-X2Z8D3,External Agency
CAS-04146-W7R2W7,Courts
CAS-04147-Z1L1H0,Courts
CAS-04148-M0L3B5,Courts
CAS-04149-K9H6G0,Courts
CAS-04150-Q4N9C8,External Agency
CAS-04151-Q8X4J5,External Agency
CAS-04152-C3D9D8,Courts
CAS-04153-Q3Q6J0,Courts
CAS-04154-Y1B1G5,Courts
CAS-04155-G1D0J1,Courts
CAS-04156-M9Q7P9,External Agency
CAS-04157-R5Y0W0,External Agency
CAS-04158-J7V2T5,Direct Intake
CAS-04159-M2S3H4,Direct Intake
CAS-04160-V2R1D4,External Agency
CAS-04161-K2N0Y1,Courts
CAS-04162-W4G6K3,Courts
CAS-04163-H5F0N7,Courts
CAS-04164-S7X0L3,Courts
CAS-04165-H4B4T4,External Agency
CAS-04166-R4T4K1,External Agency
CAS-04167-V8S2P7,Courts
CAS-04168-M4R1N9,Courts
CAS-04169-P6N7F9,Courts
CAS-04170-W6R9N0,Courts
CAS-04171-K8L8T9,Direct Intake
CAS-04172-R6F1S3,Courts
CAS-04173-T6L0Y3,Courts
CAS-04174-Q6R2G4,Courts
CAS-04175-M9S2W1,Courts
CAS-04176-W1D9B8,External Agency
CAS-04177-N4K2C9,Courts
CAS-04178-T0N9C2,Courts
CAS-04179-Q7Z1T1,Courts
CAS-04180-K8J7C1,Courts
CAS-04181-S4Z1H8,External Agency
CAS-04182-D8K9Z0,External Agency
CAS-04183-W4M0B1,External Agency
CAS-04184-Z5G5B0,Courts
CAS-04185-K5R7V6,Courts
CAS-04186-W0Q9G6,Courts
CAS-04187-T8L4N5,Courts
CAS-04188-D8J8C7,External Agency
CAS-04189-Q0T4N2,External Agency
CAS-04190-M0L8Y3,Courts
CAS-04191-Y8G1Z1,Courts
CAS-04192-J4V7P6,Courts
CAS-04193-S5D4V2,Courts
CAS-04194-Y0M0V9,External Agency
CAS-04195-C9V6F5,External Agency
CAS-04196-Y0Y6Q2,External Agency
CAS-04197-Y9L2G8,External Agency
CAS-04198-F8D8M8,Courts
CAS-04199-H2X3N7,Courts
CAS-04200-J4N3C2,Courts
CAS-04201-Y8L1K5,Courts
CAS-04202-K6S2G1,External Agency
CAS-04203-H9R4G8,External Agency
CAS-04204-D7S7R1,External Agency
CAS-04205-S5N9X0,Courts
CAS-04206-Z0B5P4,External Agency
CAS-04207-W2Y5F3,Courts
CAS-04208-P9X5Y6,Courts
CAS-04209-F3F6Z4,Courts
CAS-04210-R9F9L7,External Agency
CAS-04211-F4M5V0,External Agency
CAS-04212-Y6G2X7,External Agency
CAS-04213-N8F2W7,Courts
CAS-04214-V4G5T8,Courts
CAS-04215-F2R5J2,Courts
CAS-04216-G6X3C2,Courts
CAS-04217-K6B6Y9,External Agency
CAS-04218-T9M4F0,Courts
CAS-04219-L3M6H7,Courts
CAS-04220-N9B6S6,Direct Intake
CAS-04221-N1Y7D2,Direct Intake
CAS-04222-C0F7G0,Courts
CAS-04223-N7X3C9,Courts
CAS-04224-B6L1Z3,External Agency
CAS-04225-L0K2Z7,Courts
CAS-04226-S5G3K9,Courts
CAS-04227-D1J5L0,Courts
CAS-04228-P7Q8Q3,Courts
CAS-04229-N0N1B2,External Agency
CAS-04230-V1J5N5,External Agency
CAS-04231-H8D7M9,Direct Intake
CAS-04232-V7F3H7,Courts
CAS-04233-M3F2S3,Courts
CAS-04234-D1D4L4,Courts
CAS-04235-Z8V3J1,Courts
CAS-04236-J2R7F6,External Agency
CAS-04237-V7G1V0,External Agency
CAS-04238-G4R3N4,Direct Intake
CAS-04239-Z2H6B8,Courts
CAS-04240-J1L9R3,Courts
CAS-04241-X1P2B7,Courts
CAS-04242-C8R2N6,Courts
CAS-04243-C4Z3C1,Courts
CAS-04244-C8X9M3,Courts
CAS-04245-S6N8N2,External Agency
CAS-04246-W3Y7V7,External Agency
CAS-04247-T8D4C2,Courts
CAS-04248-Z7J4T6,Courts
CAS-04249-B6P4Q9,Courts
CAS-04250-X9B0Y6,Courts
CAS-04251-N7H5R4,Direct Intake
CAS-04252-M2W8B0,Direct Intake
CAS-04253-L8R5C6,External Agency
CAS-04254-J6F6X8,External Agency
CAS-04255-B0C2K2,Direct Intake
CAS-04256-H5R0D2,Courts
CAS-04257-L3X7V8,Courts
CAS-04258-J2Q4G1,Courts
CAS-04259-Q1G1V2,Courts
CAS-04260-N2N4J0,Direct Intake
CAS-04261-H1D2B9,Courts
CAS-04262-X7T1W8,Courts
CAS-04263-Q0L3T7,Courts
CAS-04264-V5X8Q2,Courts
CAS-04265-X0R4G0,Direct Intake
CAS-04266-Z3K3Q0,Courts
CAS-04267-L7F7X3,Courts
CAS-04268-W3R8P4,Direct Intake
CAS-04269-F3M4B3,External Agency
CAS-04270-J6T2S1,Direct Intake
CAS-04271-Y9S3D2,External Agency
CAS-04272-N0V5Y3,External Agency
CAS-04273-K0R9H2,External Agency
CAS-04274-Y3S6C0,Direct Intake
CAS-04275-T8X9T9,External Agency
CAS-04276-W2F2G8,External Agency
CAS-04277-P1L6J7,Direct Intake
CAS-04278-G8R3B9,Direct Intake
CAS-04279-Q1J6Z4,External Agency
CAS-04280-C0M0H4,External Agency
CAS-04281-D8P9C5,External Agency
CAS-04282-L9M7B0,External Agency
CAS-04283-P9Y0T0,External Agency
CAS-04284-B7L6C6,Courts
CAS-04285-M8P4Y3,Courts
CAS-04286-K8J2H1,Courts
CAS-04287-K3X9N3,Courts
CAS-04288-F1P4W8,Direct Intake
CAS-04289-R7S2T6,External Agency
CAS-04290-F9Y0H8,Courts
CAS-04291-W0Z2P5,Courts
CAS-04292-C2X8V6,Courts
CAS-04293-V7T6M0,Courts
CAS-04294-W1J1C7,Direct Intake
CAS-04295-R8H8X6,Courts
CAS-04296-K4F4D0,Courts
CAS-04297-F5P3M8,Courts
CAS-04298-W8Q0S6,Courts
CAS-04299-J4C2Q4,External Agency
CAS-04300-R0G5H1,External Agency
CAS-04301-Y5L8L3,External Agency
CAS-04302-L4R8W4,Direct Intake
CAS-04303-N9V7C6,External Agency
CAS-04304-X5F9N5,Direct Intake
CAS-04305-K8M0S9,Direct Intake
CAS-04306-R8F8L1,Direct Intake
CAS-04307-K6V8C7,Direct Intake
CAS-04308-K3G2K4,External Agency
CAS-04309-W3Z9J7,External Agency
CAS-04310-X6B8V7,External Agency
CAS-04311-T2P8N4,External Agency
CAS-04312-T6R3F4,External Agency
CAS-04313-Y1D2R7,External Agency
CAS-04314-X2B0G0,External Agency
CAS-04315-Z7P1P4,Direct Intake
CAS-04316-L1N3K9,External Agency
CAS-04317-L1Y2T2,External Agency
CAS-04318-R2V2K2,External Agency
CAS-04319-X4Z9R1,Direct Intake
CAS-04320-Z2Q8M9,Direct Intake
CAS-04321-F4S8C6,Direct Intake
CAS-04322-F7S7Q6,External Agency
CAS-04323-G3D1S7,External Agency
CAS-04324-D9W8B1,External Agency
CAS-04325-T7W5K9,External Agency
CAS-04326-H1V7S8,External Agency
CAS-04327-R5K4Z0,Direct Intake
CAS-04328-B6N7H2,External Agency
CAS-04329-C0S4Q2,External Agency
CAS-04330-P2M4S9,External Agency
CAS-04331-Z4W8V3,Direct Intake
CAS-04332-T3F9C9,Direct Intake
CAS-04333-M4J0Y3,Direct Intake
CAS-04334-T0B7J6,Direct Intake
CAS-04335-S7T0Y5,Direct Intake
CAS-04336-C8J9B0,Direct Intake
CAS-04337-T8X6W3,External Agency
CAS-04338-R7T0C9,External Agency
CAS-04339-B0D7Q6,Direct Intake
CAS-04340-G7L7S3,External Agency
CAS-04341-V1L6Q7,External Agency
CAS-04342-V0H1H3,External Agency
CAS-04343-N4P2G2,External Agency
CAS-04344-P4W0L0,External Agency
CAS-04345-N9C4N3,External Agency
CAS-04346-R7Y2C5,Direct Intake
CAS-04347-R8N5D3,External Agency
CAS-04348-P9P0W7,External Agency
CAS-04349-B5P9W0,Courts
CAS-04350-K3G3Q1,Courts
CAS-04351-T4B2Y7,Courts
CAS-04352-Q8F5X6,Courts
CAS-04353-V8T1M7,External Agency
CAS-04354-R9T3Z7,Courts
CAS-04355-R9N0B5,Courts
CAS-04356-P7M5J0,Courts
CAS-04357-T1Z4F8,Courts
CAS-04358-R2P7F1,Direct Intake
CAS-04359-X5P6P6,Direct Intake
CAS-04360-D3S9J1,External Agency
CAS-04361-M2W8C0,External Agency
CAS-04362-T0K5Q6,Courts
CAS-04363-W0K0S9,Courts
CAS-04364-Y7K5T9,Courts
CAS-04365-C5S8C4,Courts
CAS-04366-R5G4C4,Direct Intake
CAS-04367-P1K4R2,External Agency
CAS-04368-K3R7S5,External Agency
CAS-04369-J9R7F4,Courts
CAS-04370-V8Q4D1,Courts
CAS-04371-T0Z9M1,Courts
CAS-04372-T5H1G5,Courts
CAS-04373-D8R7V9,Direct Intake
CAS-04374-W7R2Z2,External Agency
CAS-04375-D4S2D0,Direct Intake
CAS-04376-Z3S6Y0,Direct Intake
CAS-04377-Y8Q0M5,External Agency
CAS-04378-W1G0V0,External Agency
CAS-04379-K4N9K1,Courts
CAS-04380-K5W4R9,Courts
CAS-04381-K7G9S4,Courts
CAS-04382-G2L8B0,Courts
CAS-04383-W1R7R7,Courts
CAS-04384-H0J6X0,Courts
CAS-04385-Q1D3V2,Courts
CAS-04386-R9K6Z3,Courts
CAS-04387-R1H4R0,Direct Intake
CAS-04388-P3F5S3,Direct Intake
CAS-04389-N9G2F1,External Agency
CAS-04390-N2C1Z2,Courts
CAS-04391-Q4Q6F3,Courts
CAS-04392-P7V8H4,Courts
CAS-04393-W9P4S9,Courts
CAS-04394-J8Z6W7,Direct Intake
CAS-04395-V7G4S4,External Agency
CAS-04402-T2L6Q9,External Agency
CAS-04403-T0B8Y5,Courts
CAS-04404-V1S1M6,Courts
CAS-04405-G8L8S0,Courts
CAS-04406-T4J1M4,Courts
CAS-04407-S6S1H6,Courts
CAS-04408-H9J6G8,Courts
CAS-04409-L8D7T0,Courts
CAS-04410-N0Q3F6,Courts
CAS-04411-F4D1M7,Courts
CAS-04412-T3F3F9,Courts
CAS-04413-Q1F8D7,Courts
CAS-04414-G5V1Q6,Courts
CAS-04415-B7W0V8,Courts
CAS-04416-R8R8F8,Courts
CAS-04417-S5R7M2,Direct Intake
CAS-04418-W0N5Y4,Courts
CAS-04419-S2Z7W1,Courts
CAS-04420-B7T8X4,External Agency
CAS-04421-C5Z9P5,Direct Intake
CAS-04422-K8H7B6,Direct Intake
CAS-04423-K6K5F5,External Agency
CAS-04424-J4S9Q6,External Agency
CAS-04425-Q1X3K2,Direct Intake
CAS-04426-Y6X1F6,Direct Intake
CAS-04427-F7J5V5,Courts
CAS-04428-Q9B7V1,Courts
CAS-04429-B9R5V9,External Agency
CAS-04430-B8Q9C0,Direct Intake
CAS-04431-P6S9C6,Courts
CAS-04432-Z0D2T7,Courts
CAS-04433-J8G7G2,Courts
CAS-04434-Y1J9D2,Courts
CAS-04435-R4Y0L7,External Agency
CAS-04436-F4T2K3,Courts
CAS-04437-V7D3Q5,Courts
CAS-04438-P4R8Y4,Courts
CAS-04439-G2Q4N1,Courts
CAS-04440-Z7K0T9,Direct Intake
CAS-04441-H9P8B4,Direct Intake
CAS-04442-K8X0Z6,External Agency
CAS-04443-Q6D6Y2,External Agency
CAS-04444-T1Z7S5,Courts
CAS-04445-V9D2Q8,Courts
CAS-04446-B4J1W6,Courts
CAS-04447-B0P6P6,Courts
CAS-04448-N1W2M3,External Agency
CAS-04449-Q7N6T3,Direct Intake
CAS-04450-Q5Z5W7,External Agency
CAS-04451-S5K7P1,External Agency
CAS-04452-B1F1P6,External Agency
CAS-04453-B5D0X5,External Agency
CAS-04454-N5N1C5,External Agency
CAS-04455-G1T4K9,External Agency
CAS-04456-C8G9J5,Courts
CAS-04457-W7V2X5,Courts
CAS-04458-Y9R9M7,Courts
CAS-04459-V2B0X0,External Agency
CAS-04460-S5M2G8,Courts
CAS-04461-N8J8X7,Courts
CAS-04462-Z3C9N4,Courts
CAS-04463-G9J6K9,Courts
CAS-04464-P4B5X5,External Agency
CAS-04465-B9G6N5,Direct Intake
CAS-04466-W0G4P1,External Agency
CAS-04467-R8F8Q8,External Agency
CAS-04468-X9H4K3,Courts
CAS-04469-Q9C9T6,Direct Intake
CAS-04470-C4T7Z7,Courts
CAS-04471-X5R1R8,Courts
CAS-04472-Q5V0X3,Courts
CAS-04473-S9Q7G8,External Agency
CAS-04474-L6S5Y0,Courts
CAS-04475-R0T3C2,Courts
CAS-04476-V9W6H7,Courts
CAS-04477-J9M2M2,Courts
CAS-04478-N6D9T4,External Agency
CAS-04479-T1H2R7,External Agency
CAS-04480-K4D1L8,Courts
CAS-04481-D8C1K3,Courts
CAS-04482-L0T4W6,Courts
CAS-04483-X7K3P1,Courts
CAS-04484-F7X8T6,External Agency
CAS-04485-W7J5D2,Courts
CAS-04486-P9Z2P2,External Agency
CAS-04487-D3C8D1,Courts
CAS-04488-V2P1C5,Courts
CAS-04489-V8S4H5,Courts
CAS-04490-Z2S4K5,Direct Intake
CAS-04491-F7Q3S6,External Agency
CAS-04492-Y9P2H5,Courts
CAS-04493-K5H2C8,Courts
CAS-04494-G5Y3W9,Courts
CAS-04495-X3G3G9,Courts
CAS-04496-X8Q9C6,External Agency
CAS-04497-T3K6H4,External Agency
CAS-04498-Z3K1V2,External Agency
CAS-04499-Q2D6B2,Courts
CAS-04500-C5P5D7,Courts
CAS-04501-B2N3T0,External Agency
CAS-04502-B5X5B3,External Agency
CAS-04503-Q6S7Y7,External Agency
CAS-04504-H2J4T7,Courts
CAS-04505-W6J7C0,Courts
CAS-04506-Z6L9F9,Courts
CAS-04507-Q1Q6G3,Courts
CAS-04508-F3B1Z5,Courts
CAS-04509-S6J0P4,External Agency
CAS-04510-S8H1J2,External Agency
CAS-04511-Z9L1W5,Direct Intake
CAS-04512-P5V4D0,Courts
CAS-04513-Z7Y5L7,Direct Intake
CAS-04514-D2J4D9,Direct Intake
CAS-04515-N6V2J3,Courts
CAS-04516-H5L6J7,Courts
CAS-04517-H5Z6M5,Courts
CAS-04518-Y8J4W3,External Agency
CAS-04519-G9S3H8,Direct Intake
CAS-04520-Z2T8C9,Direct Intake
CAS-04521-M6X4P5,Courts
CAS-04522-P8R0M7,Courts
CAS-04523-H1X4T3,Courts
CAS-04524-V0R4K5,External Agency
CAS-04525-D4K5C9,External Agency
CAS-04526-S4B1F8,External Agency
CAS-04527-R1Z5R6,Courts
CAS-04528-L3P5K1,Courts
CAS-04529-Q3Q5D1,Courts
CAS-04530-F8L3P9,Courts
CAS-04531-J6H3P7,External Agency
CAS-04532-K7M9Q7,External Agency
CAS-04533-K9F4J0,Courts
CAS-04534-T3G1W1,Courts
CAS-04535-Y4H6B8,Courts
CAS-04536-M8D1W4,Direct Intake
CAS-04537-X5Q2M3,External Agency
CAS-04538-C4J1Z7,Direct Intake
CAS-04539-P6B9X8,Courts
CAS-04540-M1N3F7,External Agency
CAS-04541-D2T2V1,Courts
CAS-04542-N0K9F1,Courts
CAS-04543-M2N6Z3,Courts
CAS-04544-J0Z7C5,Courts
CAS-04545-M6J8W4,Courts
CAS-04546-G6S8T7,Direct Intake
CAS-04547-X5R6R1,External Agency
CAS-04548-Y3X3W3,Courts
CAS-04549-P5H0W6,Direct Intake
CAS-04550-S6K6W2,Direct Intake
CAS-04551-W9S5J2,External Agency
CAS-04552-K9Q1J3,Direct Intake
CAS-04553-G8Y5L5,Courts
CAS-04554-Z5R1V1,External Agency
CAS-04555-X1Z5W5,External Agency
CAS-04556-H1K7W7,External Agency
CAS-04557-Y4H6G1,Direct Intake
CAS-04558-Q8D5Y8,Courts
CAS-04559-V6K0X0,Courts
CAS-04560-G1V8L6,External Agency
CAS-04561-G0T3Y5,Direct Intake
CAS-04562-L1B0R9,Direct Intake
CAS-04563-C8W8X0,Courts
CAS-04564-J8Z0F6,Direct Intake
CAS-04565-N8Z3P1,External Agency
CAS-04566-W9F2W8,External Agency
CAS-04567-P3N6W8,Direct Intake
CAS-04568-T9S7W8,Courts
CAS-04569-H1D8L2,Courts
CAS-04570-N2Q5V9,Courts
CAS-04571-F0H0H4,Courts
CAS-04572-L4Z4R4,Courts
CAS-04573-T2Y3J0,External Agency
CAS-04574-R5C4X8,Direct Intake
CAS-04575-G2G2P3,Direct Intake
CAS-04576-V3D7D7,External Agency
CAS-04577-Q2Y8C0,External Agency
CAS-04578-H3V4X9,External Agency
CAS-04579-D6C8Z8,Courts
CAS-04580-T6C8F1,Direct Intake
CAS-04581-H4G8Y9,Courts
CAS-04582-T9N8Y3,Direct Intake
CAS-04583-Y0F4L3,Direct Intake
CAS-04584-M8K0L8,External Agency
CAS-04585-D0K4T6,Courts
CAS-04586-H3F3Y7,External Agency
CAS-04587-R7S2R5,Courts
CAS-04588-Y7Z0L0,Courts
CAS-04589-Z6Q3M9,Direct Intake
CAS-04590-Y3R2B4,Courts
CAS-04591-J2W7K0,Direct Intake
CAS-04592-Y1R9W1,Courts
CAS-04593-Z7D3T6,Courts
CAS-04594-F8F7M7,Courts
CAS-04595-F4J8H3,Direct Intake
CAS-04596-K9T9C3,Direct Intake
CAS-04597-Y7W7M3,Direct Intake
CAS-04598-J0K4D2,External Agency
CAS-04599-Y3T1M0,Direct Intake
CAS-04600-N2F5G2,External Agency
CAS-04601-M0X1B9,Courts
CAS-04602-S0T4X9,Direct Intake
CAS-04603-C5W2K0,External Agency
CAS-04604-R5B1C3,External Agency
CAS-04605-X4C2H9,Courts
CAS-04606-N5D3Q5,Courts
CAS-04607-M5B5W9,External Agency
CAS-04608-G3V9G4,Courts
CAS-04609-L7M3S1,Direct Intake
CAS-04610-X1G2C6,Direct Intake
CAS-04611-V9K3Q5,Direct Intake
CAS-04612-P1N6P0,External Agency
CAS-04613-H8Z7S9,External Agency
CAS-04614-H1V0F4,External Agency
CAS-04615-K2T4Y2,Direct Intake
CAS-04616-W9N6N7,Courts
CAS-04617-H7X8K9,External Agency
CAS-04618-P0T0B2,Courts
CAS-04619-W7F4Y7,Courts
CAS-04620-Z3Z9D3,Courts
CAS-04621-G8Z0K0,External Agency
CAS-04622-Y8K6J8,External Agency
CAS-04623-Q1P5Z3,External Agency
CAS-04624-Y1Z5C5,External Agency
CAS-04625-R8Y2X8,External Agency
CAS-04626-V0R2R3,Courts
CAS-04627-C0K0Z2,Courts
CAS-04628-T6M5L4,Courts
CAS-04629-C6Z2R2,External Agency
CAS-04630-X0J4Q6,Courts
CAS-04631-P1H3D7,Courts
CAS-04632-S7Y6B4,Courts
CAS-04633-K6G2Y2,External Agency
CAS-04634-W0G5H6,Direct Intake
CAS-04635-N7K1F6,Direct Intake
CAS-04636-T3Q2M6,External Agency
